"SEOUL CITY, KS (KSM00047108)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1973-01-05,33,43,25,0.00,,
1973-01-06,35,41,27,0.00,,
1973-01-07,33,36,32,0.28,,
1973-01-08,35,39,32,0.00,,
1973-01-09,34,41,,0.00,,
1973-01-10,26,34,,0.00,,
1973-01-11,26,34,19,0.00,,
1973-01-12,30,39,21,0.00,,
1973-01-13,30,39,25,0.00,,
1973-01-14,31,39,23,0.00,,
1973-01-15,36,45,27,0.00,,
1973-01-16,40,46,32,0.02,,
1973-01-17,39,41,37,0.08,,
1973-01-18,36,45,,0.02,,
1973-01-20,35,43,28,0.00,,
1973-01-21,39,43,32,0.00,,
1973-01-22,43,52,37,0.00,,
1973-01-23,43,46,37,0.00,,
1973-01-24,38,41,,0.35,,
1973-01-25,34,39,,0.12,,
1973-01-26,30,,,,,
1973-01-27,28,36,25,0.00,,
1973-01-28,29,36,,,,
1973-01-29,30,37,,0.01,,
1973-01-30,30,36,23,0.00,,
1973-01-31,36,41,28,0.00,,
1973-02-01,34,,,,,
1973-02-02,35,41,25,0.00,,
1973-02-03,36,41,,,,
1973-02-04,44,52,32,0.00,,
1973-02-05,38,45,,0.00,,
1973-02-06,23,36,,0.00,,
1973-02-07,20,28,16,0.00,,
1973-02-08,21,27,16,0.00,,
1973-02-09,25,34,16,0.00,,
1973-02-10,28,36,21,0.00,,
1973-02-11,30,39,23,0.00,,
1973-02-12,32,41,23,0.00,,
1973-02-13,35,,25,0.08,,
1973-02-14,35,43,,0.00,,
1973-02-15,38,48,28,0.00,,
1973-02-16,48,57,32,0.00,,
1973-02-17,45,52,,,,
1973-02-18,41,50,34,0.00,,
1973-02-19,39,52,,0.00,,
1973-02-20,27,36,23,0.00,,
1973-02-21,37,45,23,0.00,,
1973-02-22,36,45,,0.01,,
1973-02-23,27,36,,0.00,,
1973-02-25,26,34,16,0.00,,
1973-02-26,33,41,27,0.00,,
1973-02-27,35,46,27,0.00,,
1973-02-28,35,48,,0.00,,
1973-03-01,28,37,23,0.00,,
1973-03-02,32,43,23,0.00,,
1973-03-03,39,48,27,0.00,,
1973-03-04,34,45,,0.08,,
1973-03-05,31,39,25,0.00,,
1973-03-06,31,37,25,0.00,,
1973-03-07,36,43,28,0.00,,
1973-03-08,34,43,28,0.00,,
1973-03-09,36,45,28,0.00,,
1973-03-10,40,52,30,0.00,,
1973-03-11,44,55,34,0.00,,
1973-03-12,40,50,36,0.00,,
1973-03-13,41,50,,0.00,,
1973-03-14,41,50,32,0.00,,
1973-03-15,41,48,36,0.00,,
1973-03-16,36,41,,0.04,,
1973-03-17,39,48,32,0.00,,
1973-03-18,40,50,,0.00,,
1973-03-19,44,54,32,0.00,,
1973-03-20,43,52,,0.00,,
1973-03-21,42,54,,,,
1973-03-22,45,55,34,0.00,,
1973-03-23,44,52,,0.00,,
1973-03-24,32,43,,0.00,,
1973-03-25,35,43,25,0.00,,
1973-03-26,40,50,32,0.00,,
1973-03-27,50,55,37,0.12,,
1973-03-28,55,64,46,0.00,,
1973-03-29,53,66,,0.04,,
1973-03-30,54,70,43,0.00,,
1973-03-31,50,64,,0.00,,
1973-04-01,48,59,,0.00,,
1973-04-02,45,,,0.00,,
1973-04-03,44,52,36,0.00,,
1973-04-04,42,54,,0.00,,
1973-04-05,44,55,34,0.00,,
1973-04-06,54,66,36,0.00,,
1973-04-07,54,55,46,0.87,,
1973-04-08,58,63,54,0.08,,
1973-04-09,63,73,57,0.00,,
1973-04-10,59,68,,,,
1973-04-11,47,57,,0.75,,
1973-04-12,50,61,41,0.00,,
1973-04-13,52,61,41,0.31,,
1973-04-14,56,66,,,,
1973-04-15,55,61,,,,
1973-04-16,51,,,0.04,,
1973-04-17,46,55,,0.00,,
1973-04-18,54,63,39,0.00,,
1973-04-19,57,66,48,0.00,,
1973-04-20,59,68,34,0.00,,
1973-04-21,59,70,,0.00,,
1973-04-22,62,72,54,0.00,,
1973-04-23,62,73,55,0.67,,
1973-04-24,54,61,,0.39,,
1973-04-25,58,63,,0.00,,
1973-04-26,56,68,,0.00,,
1973-04-27,55,66,46,0.00,,
1973-04-28,59,72,48,0.00,,
1973-04-29,61,73,48,0.00,,
1973-04-30,70,82,50,0.00,,
1973-05-01,56,64,,0.79,,
1973-05-02,62,73,,0.04,,
1973-05-03,58,70,52,0.00,,
1973-05-04,62,75,,0.00,,
1973-05-05,59,72,50,0.00,,
1973-05-06,68,77,50,0.00,,
1973-05-07,60,66,,0.43,,
1973-05-08,61,73,,0.02,,
1973-05-09,59,70,,0.00,,
1973-05-10,60,70,,,,
1973-05-11,59,70,,0.00,,
1973-05-12,62,73,50,0.00,,
1973-05-13,62,,,,,
1973-05-14,69,,54,,,
1973-05-15,66,79,,0.00,,
1973-05-16,65,72,57,0.08,,
1973-05-17,65,73,,,,
1973-05-18,59,,,,,
1973-05-19,60,70,,,,
1973-05-20,63,73,52,0.00,,
1973-05-21,63,73,,0.00,,
1973-05-22,62,72,54,0.00,,
1973-05-23,65,77,,,,
1973-05-24,66,77,55,0.00,,
1973-05-25,66,75,59,0.00,,
1973-05-26,70,77,61,0.00,,
1973-05-27,71,81,64,0.00,,
1973-05-28,66,75,,0.00,,
1973-05-29,65,73,59,0.00,,
1973-05-30,64,73,,0.00,,
1973-05-31,69,79,55,0.00,,
1973-06-01,65,79,,,,
1973-06-02,64,72,55,0.00,,
1973-06-03,67,75,55,0.00,,
1973-06-04,64,75,45,,,
1973-06-05,70,79,57,0.00,,
1973-06-06,68,75,63,0.00,,
1973-06-07,69,81,,,,
1973-06-08,73,,61,0.00,,
1973-06-09,75,82,66,0.00,,
1973-06-10,77,88,66,0.00,,
1973-06-11,75,86,,0.00,,
1973-06-12,72,81,,0.00,,
1973-06-13,71,84,64,,,
1973-06-14,69,,64,,,
1973-06-15,68,77,,0.00,,
1973-06-16,68,,64,,,
1973-06-17,71,81,64,0.00,,
1973-06-18,69,77,,,,
1973-06-19,70,79,66,0.00,,
1973-06-20,69,82,,0.00,,
1973-06-21,73,,64,,,
1973-06-22,69,73,,,,
1973-06-23,74,84,64,0.00,,
1973-06-24,76,86,68,0.00,,
1973-06-25,76,86,,0.00,,
1973-06-26,71,79,,,,
1973-06-27,67,72,63,,,
1973-06-28,71,75,66,,,
1973-06-29,75,,68,,,
1973-06-30,71,77,68,,,
1973-07-01,73,82,68,0.00,,
1973-07-02,76,84,68,0.00,,
1973-07-03,80,90,72,,,
1973-07-04,78,84,73,0.00,,
1973-07-05,80,,73,,,
1973-07-06,78,86,,,,
1973-07-07,79,88,72,0.00,,
1973-07-08,80,90,,,,
1973-07-09,81,90,73,0.00,,
1973-07-10,80,90,72,0.00,,
1973-07-11,80,88,75,0.00,,
1973-07-12,82,90,75,0.00,,
1973-07-13,81,84,77,,,
1973-07-14,77,,,,,
1973-07-15,81,88,,0.00,,
1973-07-16,83,90,75,0.00,,
1973-07-17,86,93,75,0.00,,
1973-07-18,84,,,0.00,,
1973-07-19,81,84,73,,,
1973-07-20,83,91,,0.00,,
1973-07-21,80,90,75,,,
1973-07-22,79,90,75,,,
1973-07-23,83,91,75,0.00,,
1973-07-24,85,91,75,0.00,,
1973-07-25,85,91,79,0.00,,
1973-07-26,83,91,,0.00,,
1973-07-27,79,86,,0.00,,
1973-07-28,82,,75,0.00,,
1973-07-29,78,86,,,,
1973-07-30,77,86,72,,,
1973-07-31,79,88,,,,
1973-08-01,74,81,,,,
1973-08-02,75,,72,,,
1973-08-03,80,86,,,,
1973-08-04,74,79,,,,
1973-08-05,78,82,73,,,
1973-08-06,80,88,,0.00,,
1973-08-07,80,88,,0.00,,
1973-08-08,81,90,73,0.00,,
1973-08-09,80,90,75,0.00,,
1973-08-10,81,90,75,0.00,,
1973-08-11,80,90,72,0.00,,
1973-08-12,80,90,,0.00,,
1973-08-13,81,90,73,0.00,,
1973-08-14,85,93,,,,
1973-08-15,85,95,77,0.00,,
1973-08-16,88,95,77,0.00,,
1973-08-17,75,,,,,
1973-08-18,78,,,,,
1973-08-19,79,88,72,0.00,,
1973-08-20,78,82,73,0.00,,
1973-08-21,79,84,75,0.00,,
1973-08-22,76,81,75,,,
1973-08-23,73,77,,,,
1973-08-24,77,84,72,0.00,,
1973-08-25,77,84,73,0.00,,
1973-08-26,78,86,,0.00,,
1973-08-27,78,86,72,0.00,,
1973-08-28,77,,75,,,
1973-08-29,76,84,72,,,
1973-08-30,78,86,73,0.00,,
1973-08-31,74,,70,,,
1973-09-01,71,75,,,,
1973-09-02,71,77,,0.00,,
1973-09-03,72,81,,,,
1973-09-04,71,77,66,0.00,,
1973-09-05,74,82,66,0.00,,
1973-09-06,74,,,,,
1973-09-07,73,,64,0.00,,
1973-09-08,72,81,66,0.00,,
1973-09-09,68,73,,0.01,,
1973-09-10,65,73,,,,
1973-09-11,67,77,,0.00,,
1973-09-12,68,77,57,0.00,,
1973-09-13,71,79,63,0.00,,
1973-09-14,68,79,63,0.00,,
1973-09-15,71,81,63,0.00,,
1973-09-16,71,81,63,0.00,,
1973-09-17,73,82,63,0.00,,
1973-09-18,70,79,66,0.01,,
1973-09-19,69,77,,0.00,,
1973-09-20,69,77,,0.00,,
1973-09-21,70,79,63,0.00,,
1973-09-22,67,,,,,
1973-09-23,70,79,61,0.00,,
1973-09-24,71,81,63,0.00,,
1973-09-25,65,75,,,,
1973-09-26,52,63,,0.00,,
1973-09-27,57,70,46,0.00,,
1973-09-28,62,72,48,0.00,,
1973-09-29,60,64,57,,,
1973-09-30,63,73,,0.00,,
1973-10-01,63,75,,0.00,,
1973-10-02,59,66,,,,
1973-10-03,65,75,54,,,
1973-10-04,64,70,52,0.00,,
1973-10-05,58,63,,,,
1973-10-06,60,64,54,0.00,,
1973-10-07,58,66,,,,
1973-10-08,60,70,,,,
1973-10-09,58,,50,0.00,,
1973-10-10,59,66,52,0.00,,
1973-10-11,65,77,54,0.00,,
1973-10-12,65,72,57,0.00,,
1973-10-13,50,63,,,,
1973-10-14,47,57,37,0.00,,
1973-10-15,54,64,,,,
1973-10-16,55,66,45,0.02,,
1973-10-17,52,61,,0.00,,
1973-10-18,51,63,,,,
1973-10-19,58,68,43,0.00,,
1973-10-20,56,63,54,0.00,,
1973-10-21,55,72,,,,
1973-10-22,51,59,45,0.00,,
1973-10-23,49,57,45,0.00,,
1973-10-24,46,54,,0.00,,
1973-10-25,46,54,,,,
1973-10-26,49,54,36,0.00,,
1973-10-27,58,68,48,,,
1973-10-28,52,64,,,,
1973-10-29,53,64,43,0.00,,
1973-10-30,54,66,43,0.00,,
1973-10-31,52,59,,0.00,,
1973-11-01,53,63,45,0.00,,
1973-11-02,48,61,,0.00,,
1973-11-03,49,59,,,,
1973-11-04,50,61,,,,
1973-11-05,44,54,,0.00,,
1973-11-06,45,55,,0.00,,
1973-11-07,49,61,36,0.00,,
1973-11-08,51,54,43,0.00,,
1973-11-09,47,59,,,,
1973-11-10,37,,,,,
1973-11-11,38,45,32,0.00,,
1973-11-12,41,50,32,0.00,,
1973-11-13,47,57,37,0.00,,
1973-11-14,47,59,41,,,
1973-11-15,49,55,41,0.00,,
1973-11-16,45,55,,0.02,,
1973-11-17,32,,,,,
1973-11-18,31,39,25,,,
1973-11-19,24,30,,0.00,,1.2
1973-11-20,26,32,19,0.01,,
1973-11-21,29,36,21,0.00,,
1973-11-22,31,45,23,0.00,,
1973-11-23,42,50,30,0.00,,
1973-11-24,40,52,,0.01,,
1973-11-25,32,39,27,0.00,,
1973-11-26,41,45,28,0.00,,
1973-11-27,35,48,,0.00,,
1973-11-28,32,39,27,0.00,,
1973-11-29,38,41,28,0.00,,
1973-11-30,33,,,,,
1973-12-01,37,45,19,0.00,,
1973-12-02,36,52,,0.00,,
1973-12-03,23,30,,0.00,,
1973-12-04,19,25,16,0.00,,
1973-12-05,28,,16,,,
1973-12-06,20,28,,0.00,,
1973-12-07,21,27,14,0.00,,
1973-12-08,27,36,16,0.00,,
1973-12-09,31,37,21,0.00,,
1973-12-10,27,37,,0.00,,
1973-12-11,31,39,21,0.00,,
1973-12-12,32,39,,,,
1973-12-13,31,41,23,0.00,,
1973-12-14,37,46,28,0.00,,
1973-12-15,36,46,,0.00,,
1973-12-16,27,34,,0.00,,
1973-12-17,29,36,,,,
1973-12-18,28,37,,,,
1973-12-19,32,37,23,0.00,,
1973-12-20,38,,28,0.00,,
1973-12-21,24,41,,,,
1973-12-22,24,27,12,,,2.0
1973-12-23,11,,,0.00,,1.2
1973-12-24,9,16,1,0.00,,1.2
1973-12-25,16,32,7,0.00,,1.2
1973-12-26,26,32,12,0.00,,
1973-12-27,33,,27,0.00,,
1973-12-28,21,34,,0.00,,
1973-12-29,25,30,14,0.02,,1.2
1973-12-30,26,32,19,0.00,,
1973-12-31,30,36,25,0.00,,
1974-01-01,35,46,25,0.00,,
